key,module,page,component,slot,text,notes,status
live.repo_state.title,dashboard,LivePage,LivePage,repo_title,Repo / Entire state,,inactive
live.repo_state.selected,dashboard,LivePage,LivePage,repo_selected,Selected repo: {{repo}},,inactive
live.repo_state.empty,dashboard,LivePage,LivePage,repo_empty,Select a session with a repo to inspect Entire status.,,inactive
nav.entire,shared,*,Sidebar,nav_entire,Entire,,inactive
entire.title,dashboard,EntirePage,EntirePage,title,Entire,,inactive
entire.subtitle,dashboard,EntirePage,EntirePage,subtitle,"Repository status, checkpoints, and controls.",,inactive
entire.repo.title,dashboard,EntirePage,RepoPathSelector,title,Repository,,inactive
entire.repo.subtitle,dashboard,EntirePage,RepoPathSelector,subtitle,Use an absolute repository path to load Entire status and checkpoints.,,inactive
entire.repo.input.label,dashboard,EntirePage,RepoPathSelector,input_label,Repository path,,inactive
entire.repo.input.placeholder,dashboard,EntirePage,RepoPathSelector,input_placeholder,/Users/you/project,,inactive
entire.repo.action.load,dashboard,EntirePage,RepoPathSelector,action_load,Load repo,,inactive
entire.repo.action.loading,dashboard,EntirePage,RepoPathSelector,action_loading,Loading...,,inactive
entire.repo.validation.absolute_path,dashboard,EntirePage,RepoPathSelector,validation_absolute_path,Enter an absolute repository path.,,inactive
entire.repo.remove.error_fallback,dashboard,EntirePage,RepoPathSelector,remove_error_fallback,Unable to remove recent repository.,,inactive
entire.repo.suggestions.label,dashboard,EntirePage,RepoPathSelector,suggestions_label,Recent repos,,inactive
entire.status.title,dashboard,EntirePage,EntireStatusCard,title,Entire status,,inactive
entire.status.loading,dashboard,EntirePage,EntireStatusCard,loading,Loading status...,,inactive
entire.status.error,dashboard,EntirePage,EntireStatusCard,error,Unable to load status: {{error}},,inactive
entire.status.error_fallback,dashboard,EntirePage,EntireStatusCard,error_fallback,Request failed,,inactive
entire.status.empty,dashboard,EntirePage,EntireStatusCard,empty,Select a repository to load Entire status.,,inactive
entire.status.state,dashboard,EntirePage,EntireStatusCard,state_label,State,,inactive
entire.status.version,dashboard,EntirePage,EntireStatusCard,version_label,Version,,inactive
entire.status.tip,dashboard,EntirePage,EntireStatusCard,tip_label,Checkpoint branch tip,,inactive
entire.status.cached_state,dashboard,EntirePage,EntireStatusCard,cached_state_label,Cached state,,inactive
entire.state.not_installed,dashboard,EntirePage,EntireStatusCard,state_not_installed,Entire not installed,,inactive
